start,worktime,alltime,ratio
20240128223115,11,5230,0
20240129213019,1669,9759,17
20240130220951,2497,11578,22
20240131221931,649,5745,11
20240201200747,4496,16622,27
20240202202805,2082,14907,14
20240203091026,0,12667,0
20240203214727,0,10006,0
20240204214705,2710,9019,30
20240205212529,496,8943,6
20240206084045,0,503,0
20240206221029,0,8699,0
20240207212222,1689,9079,19
20240208202438,0,16614,0
20240209080555,0,7955,0
20240216220622,0,9584,0
20240217084356,1781,56301,3
20240218195441,3669,15108,24
20240219193933,3529,17323,20
20240221010110,377,1761,21